1000 1498
111 113 44
112 111 43
112 114 43
113 115 55
114 113 41
114 116 41
115 117 49
116 115 31
116 118 31
117 119 46
118 117 34
118 120 34
119 121 30
120 119 37
120 122 37
121 123 30
122 121 47
122 124 47
123 125 30
124 123 53
124 126 53
125 127 55
126 125 40
126 128 40
127 129 40
128 127 38
128 130 38
129 131 41
130 129 31
130 132 31
131 133 57
132 131 31
132 134 31
133 135 56
134 133 32
134 136 32
135 137 56
136 135 39
136 138 39
137 139 30
138 137 35
138 140 35
139 141 39
140 139 33
140 142 33
141 143 50
142 141 43
142 144 43
143 145 54
144 143 30
144 146 30
145 147 58
146 145 55
146 148 55
147 149 36
148 147 48
148 150 48
149 151 30
150 149 47
150 152 47
151 153 39
152 151 59
152 154 59
153 155 55
154 153 41
154 156 41
155 157 35
156 155 33
156 158 33
157 159 43
158 157 55
158 160 55
159 161 51
160 159 59
160 162 59
161 163 40
162 161 33
162 164 33
163 165 34
164 163 30
164 166 30
165 167 40
166 165 56
166 168 56
167 169 46
168 167 39
168 170 39
169 171 30
170 169 36
170 172 36
171 173 53
172 171 30
172 174 30
173 175 45
174 173 54
174 176 54
175 177 39
176 175 40
176 178 40
177 179 31
178 177 46
178 180 46
179 181 31
180 179 47
180 182 47
181 183 55
182 181 48
182 184 48
183 185 54
184 183 35
184 186 35
185 187 48
186 185 50
186 188 50
187 189 52
188 187 40
188 190 40
189 191 43
190 189 54
190 192 54
191 193 35
192 191 46
192 194 46
193 195 58
194 193 31
194 196 31
195 197 40
196 195 53
196 198 53
197 199 31
198 197 40
198 200 40
199 201 46
200 199 52
200 202 52
201 203 36
202 201 41
202 204 41
203 205 57
204 203 56
204 206 56
205 207 31
206 205 44
206 208 44
207 209 31
208 207 47
208 210 47
209 211 39
210 209 42
210 212 42
211 213 41
212 211 33
212 214 33
213 215 52
214 213 33
214 216 33
215 217 44
216 215 43
216 218 43
217 219 45
218 217 58
218 220 58
219 221 35
220 219 41
220 222 41
221 223 30
222 221 50
222 224 50
223 225 33
224 223 52
224 226 52
225 227 30
226 225 54
226 228 54
227 229 59
228 227 35
228 230 35
229 231 54
230 229 59
230 232 59
231 233 43
232 231 33
232 234 33
233 235 59
234 233 45
234 236 45
235 237 57
236 235 36
236 238 36
237 239 57
238 237 32
238 240 32
239 241 48
240 239 32
240 242 32
241 243 32
242 241 46
242 244 46
243 245 38
244 243 56
244 246 56
245 247 43
246 245 51
246 248 51
247 249 54
248 247 39
248 250 39
249 251 55
250 249 52
250 252 52
251 253 34
252 251 46
252 254 46
253 255 46
254 253 54
254 256 54
255 257 41
256 255 58
256 258 58
257 259 41
258 257 38
258 260 38
259 261 33
260 259 33
260 262 33
261 263 38
262 261 44
262 264 44
263 265 49
264 263 40
264 266 40
265 267 48
266 265 40
266 268 40
267 269 57
268 267 50
268 270 50
269 271 38
270 269 58
270 272 58
271 273 30
272 271 55
272 274 55
273 275 33
274 273 31
274 276 31
275 277 42
276 275 32
276 278 32
277 279 52
278 277 51
278 280 51
279 281 40
280 279 34
280 282 34
281 283 41
282 281 43
282 284 43
283 285 45
284 283 39
284 286 39
285 287 42
286 285 54
286 288 54
287 289 45
288 287 33
288 290 33
289 291 56
290 289 58
290 292 58
291 293 34
292 291 45
292 294 45
293 295 39
294 293 31
294 296 31
295 297 48
296 295 45
296 298 45
297 299 31
298 297 59
298 300 59
299 301 53
300 299 54
300 302 54
301 303 53
302 301 58
302 304 58
303 305 59
304 303 32
304 306 32
305 307 52
306 305 43
306 308 43
307 309 53
308 307 58
308 310 58
309 311 54
310 309 57
310 312 57
311 313 30
312 311 47
312 314 47
313 315 51
314 313 40
314 316 40
315 317 41
316 315 38
316 318 38
317 319 30
318 317 53
318 320 53
319 321 53
320 319 30
320 322 30
321 323 43
322 321 39
322 324 39
323 325 38
324 323 31
324 326 31
325 327 38
326 325 32
326 328 32
327 329 43
328 327 31
328 330 31
329 331 53
330 329 39
330 332 39
331 333 46
332 331 31
332 334 31
333 335 33
334 333 57
334 336 57
335 337 49
336 335 46
336 338 46
337 339 59
338 337 41
338 340 41
339 341 49
340 339 31
340 342 31
341 343 30
342 341 34
342 344 34
343 345 37
344 343 56
344 346 56
345 347 46
346 345 51
346 348 51
347 349 50
348 347 30
348 350 30
349 351 39
350 349 30
350 352 30
351 353 33
352 351 44
352 354 44
353 355 47
354 353 31
354 356 31
355 357 53
356 355 45
356 358 45
357 359 31
358 357 38
358 360 38
359 361 50
360 359 50
360 362 50
361 363 53
362 361 49
362 364 49
363 365 56
364 363 47
364 366 47
365 367 58
366 365 34
366 368 34
367 369 42
368 367 33
368 370 33
369 371 48
370 369 30
370 372 30
371 373 42
372 371 51
372 374 51
373 375 59
374 373 49
374 376 49
375 377 38
376 375 43
376 378 43
377 379 44
378 377 40
378 380 40
379 381 41
380 379 44
380 382 44
381 383 59
382 381 31
382 384 31
383 385 50
384 383 52
384 386 52
385 387 44
386 385 51
386 388 51
387 389 59
388 387 40
388 390 40
389 391 39
390 389 44
390 392 44
391 393 46
392 391 34
392 394 34
393 395 32
394 393 31
394 396 31
395 397 53
396 395 34
396 398 34
397 399 57
398 397 50
398 400 50
399 401 53
400 399 47
400 402 47
401 403 44
402 401 42
402 404 42
403 405 52
404 403 46
404 406 46
405 407 56
406 405 56
406 408 56
407 409 53
408 407 55
408 410 55
409 411 40
410 409 45
410 412 45
411 413 43
412 411 46
412 414 46
413 415 49
414 413 57
414 416 57
415 417 30
416 415 39
416 418 39
417 419 52
418 417 48
418 420 48
419 421 47
420 419 38
420 422 38
421 423 36
422 421 47
422 424 47
423 425 39
424 423 36
424 426 36
425 427 41
426 425 39
426 428 39
427 429 53
428 427 59
428 430 59
429 431 36
430 429 51
430 432 51
431 433 30
432 431 55
432 434 55
433 435 57
434 433 37
434 436 37
435 437 58
436 435 35
436 438 35
437 439 49
438 437 47
438 440 47
439 441 41
440 439 56
440 442 56
441 443 44
442 441 32
442 444 32
443 445 56
444 443 38
444 446 38
445 447 32
446 445 47
446 448 47
447 449 42
448 447 51
448 450 51
449 451 30
450 449 36
450 452 36
451 453 36
452 451 45
452 454 45
453 455 49
454 453 47
454 456 47
455 457 54
456 455 38
456 458 38
457 459 37
458 457 53
458 460 53
459 461 38
460 459 58
460 462 58
461 463 54
462 461 53
462 464 53
463 465 30
464 463 49
464 466 49
465 467 35
466 465 54
466 468 54
467 469 46
468 467 48
468 470 48
469 471 32
470 469 59
470 472 59
471 473 32
472 471 34
472 474 34
473 475 49
474 473 33
474 476 33
475 477 30
476 475 48
476 478 48
477 479 50
478 477 45
478 480 45
479 481 48
480 479 46
480 482 46
481 483 51
482 481 56
482 484 56
483 485 32
484 483 54
484 486 54
485 487 39
486 485 40
486 488 40
487 489 41
488 487 56
488 490 56
489 491 57
490 489 47
490 492 47
491 493 36
492 491 54
492 494 54
493 495 35
494 493 40
494 496 40
495 497 30
496 495 49
496 498 49
497 499 43
498 497 59
498 500 59
499 501 52
500 499 31
500 502 31
501 503 31
502 501 35
502 504 35
503 505 50
504 503 53
504 506 53
505 507 30
506 505 36
506 508 36
507 509 32
508 507 49
508 510 49
509 511 42
510 509 57
510 512 57
511 513 39
512 511 41
512 514 41
513 515 51
514 513 58
514 516 58
515 517 58
516 515 30
516 518 30
517 519 48
518 517 42
518 520 42
519 521 32
520 519 59
520 522 59
521 523 37
522 521 31
522 524 31
523 525 55
524 523 55
524 526 55
525 527 44
526 525 30
526 528 30
527 529 36
528 527 48
528 530 48
529 531 45
530 529 34
530 532 34
531 533 57
532 531 38
532 534 38
533 535 37
534 533 56
534 536 56
535 537 31
536 535 50
536 538 50
537 539 40
538 537 31
538 540 31
539 541 51
540 539 59
540 542 59
541 543 36
542 541 36
542 544 36
543 545 31
544 543 49
544 546 49
545 547 56
546 545 31
546 548 31
547 549 54
548 547 59
548 550 59
549 551 58
550 549 59
550 552 59
551 553 33
552 551 45
552 554 45
553 555 34
554 553 38
554 556 38
555 557 46
556 555 55
556 558 55
557 559 44
558 557 45
558 560 45
559 561 30
560 559 55
560 562 55
561 563 52
562 561 35
562 564 35
563 565 30
564 563 46
564 566 46
565 567 32
566 565 35
566 568 35
567 569 49
568 567 40
568 570 40
569 571 40
570 569 52
570 572 52
571 573 55
572 571 44
572 574 44
573 575 55
574 573 39
574 576 39
575 577 37
576 575 47
576 578 47
577 579 37
578 577 58
578 580 58
579 581 34
580 579 33
580 582 33
581 583 32
582 581 55
582 584 55
583 585 34
584 583 57
584 586 57
585 587 53
586 585 39
586 588 39
587 589 57
588 587 33
588 590 33
589 591 41
590 589 59
590 592 59
591 593 30
592 591 44
592 594 44
593 595 37
594 593 37
594 596 37
595 597 52
596 595 46
596 598 46
597 599 40
598 597 34
598 600 34
599 601 52
600 599 45
600 602 45
601 603 45
602 601 42
602 604 42
603 605 45
604 603 31
604 606 31
605 607 53
606 605 47
606 608 47
607 609 53
608 607 33
608 610 33
609 611 34
610 609 57
610 612 57
611 613 32
612 611 31
612 614 31
613 615 42
614 613 36
614 616 36
615 617 39
616 615 31
616 618 31
617 619 55
618 617 51
618 620 51
619 621 51
620 619 55
620 622 55
621 623 42
622 621 36
622 624 36
623 625 52
624 623 39
624 626 39
625 627 41
626 625 48
626 628 48
627 629 56
628 627 41
628 630 41
629 631 41
630 629 41
630 632 41
631 633 58
632 631 45
632 634 45
633 635 54
634 633 56
634 636 56
635 637 59
636 635 58
636 638 58
637 639 37
638 637 54
638 640 54
639 641 50
640 639 37
640 642 37
641 643 54
642 641 45
642 644 45
643 645 59
644 643 39
644 646 39
645 647 43
646 645 36
646 648 36
647 649 50
648 647 49
648 650 49
649 651 45
650 649 42
650 652 42
651 653 36
652 651 48
652 654 48
653 655 53
654 653 48
654 656 48
655 657 59
656 655 48
656 658 48
657 659 45
658 657 57
658 660 57
659 661 56
660 659 58
660 662 58
661 663 44
662 661 43
662 664 43
663 665 42
664 663 34
664 666 34
665 667 47
666 665 43
666 668 43
667 669 43
668 667 48
668 670 48
669 671 52
670 669 35
670 672 35
671 673 46
672 671 55
672 674 55
673 675 55
674 673 42
674 676 42
675 677 55
676 675 49
676 678 49
677 679 32
678 677 39
678 680 39
679 681 30
680 679 48
680 682 48
681 683 52
682 681 59
682 684 59
683 685 55
684 683 38
684 686 38
685 687 31
686 685 58
686 688 58
687 689 55
688 687 37
688 690 37
689 691 55
690 689 33
690 692 33
691 693 40
692 691 52
692 694 52
693 695 45
694 693 55
694 696 55
695 697 54
696 695 45
696 698 45
697 699 43
698 697 41
698 700 41
699 701 39
700 699 43
700 702 43
701 703 46
702 701 57
702 704 57
703 705 54
704 703 59
704 706 59
705 707 33
706 705 35
706 708 35
707 709 43
708 707 33
708 710 33
709 711 48
710 709 34
710 712 34
711 713 51
712 711 54
712 714 54
713 715 51
714 713 52
714 716 52
715 717 44
716 715 35
716 718 35
717 719 36
718 717 47
718 720 47
719 721 38
720 719 36
720 722 36
721 723 34
722 721 47
722 724 47
723 725 57
724 723 54
724 726 54
725 727 55
726 725 55
726 728 55
727 729 37
728 727 32
728 730 32
729 731 39
730 729 36
730 732 36
731 733 43
732 731 49
732 734 49
733 735 56
734 733 54
734 736 54
735 737 56
736 735 55
736 738 55
737 739 49
738 737 49
738 740 49
739 741 36
740 739 52
740 742 52
741 743 36
742 741 32
742 744 32
743 745 37
744 743 43
744 746 43
745 747 49
746 745 31
746 748 31
747 749 36
748 747 58
748 750 58
749 751 45
750 749 58
750 752 58
751 753 38
752 751 33
752 754 33
753 755 42
754 753 49
754 756 49
755 757 31
756 755 33
756 758 33
757 759 48
758 757 58
758 760 58
759 761 56
760 759 37
760 762 37
761 763 32
762 761 57
762 764 57
763 765 41
764 763 57
764 766 57
765 767 52
766 765 49
766 768 49
767 769 56
768 767 53
768 770 53
769 771 46
770 769 38
770 772 38
771 773 36
772 771 59
772 774 59
773 775 49
774 773 58
774 776 58
775 777 56
776 775 58
776 778 58
777 779 45
778 777 36
778 780 36
779 781 59
780 779 33
780 782 33
781 783 59
782 781 47
782 784 47
783 785 35
784 783 58
784 786 58
785 787 53
786 785 35
786 788 35
787 789 37
788 787 32
788 790 32
789 791 33
790 789 47
790 792 47
791 793 32
792 791 53
792 794 53
793 795 49
794 793 59
794 796 59
795 797 55
796 795 41
796 798 41
797 799 59
798 797 48
798 800 48
799 801 40
800 799 54
800 802 54
801 803 58
802 801 59
802 804 59
803 805 54
804 803 36
804 806 36
805 807 42
806 805 46
806 808 46
807 809 52
808 807 33
808 810 33
809 811 39
810 809 42
810 812 42
811 813 54
812 811 48
812 814 48
813 815 49
814 813 50
814 816 50
815 817 41
816 815 57
816 818 57
817 819 56
818 817 39
818 820 39
819 821 58
820 819 37
820 822 37
821 823 53
822 821 50
822 824 50
823 825 48
824 823 57
824 826 57
825 827 43
826 825 31
826 828 31
827 829 32
828 827 52
828 830 52
829 831 55
830 829 44
830 832 44
831 833 30
832 831 49
832 834 49
833 835 33
834 833 33
834 836 33
835 837 31
836 835 35
836 838 35
837 839 38
838 837 36
838 840 36
839 841 59
840 839 36
840 842 36
841 843 36
842 841 43
842 844 43
843 845 47
844 843 44
844 846 44
845 847 54
846 845 44
846 848 44
847 849 48
848 847 54
848 850 54
849 851 50
850 849 51
850 852 51
851 853 37
852 851 48
852 854 48
853 855 43
854 853 42
854 856 42
855 857 48
856 855 31
856 858 31
857 859 33
858 857 39
858 860 39
859 861 56
860 859 30
860 862 30
861 863 55
862 861 56
862 864 56
863 865 40
864 863 42
864 866 42
865 867 38
866 865 44
866 868 44
867 869 40
868 867 40
868 870 40
869 871 45
870 869 51
870 872 51
871 873 55
872 871 48
872 874 48
873 875 53
874 873 51
874 876 51
875 877 43
876 875 53
876 878 53
877 879 30
878 877 56
878 880 56
879 881 34
880 879 34
880 882 34
881 883 54
882 881 45
882 884 45
883 885 57
884 883 38
884 886 38
885 887 54
886 885 42
886 888 42
887 889 34
888 887 51
888 890 51
889 891 34
890 889 49
890 892 49
891 893 48
892 891 35
892 894 35
893 895 40
894 893 44
894 896 44
895 897 44
896 895 33
896 898 33
897 899 51
898 897 45
898 900 45
899 901 32
900 899 52
900 902 52
901 903 40
902 901 46
902 904 46
903 905 34
904 903 56
904 906 56
905 907 35
906 905 45
906 908 45
907 909 56
908 907 49
908 910 49
909 911 46
910 909 31
910 912 31
911 913 41
912 911 40
912 914 40
913 915 45
914 913 57
914 916 57
915 917 30
916 915 32
916 918 32
917 919 59
918 917 46
918 920 46
919 921 46
920 919 32
920 922 32
921 923 57
922 921 37
922 924 37
923 925 39
924 923 54
924 926 54
925 927 55
926 925 42
926 928 42
927 929 53
928 927 57
928 930 57
929 931 41
930 929 41
930 932 41
931 933 57
932 931 50
932 934 50
933 935 32
934 933 57
934 936 57
935 937 31
936 935 30
936 938 30
937 939 45
938 937 42
938 940 42
939 941 50
940 939 43
940 942 43
941 943 36
942 941 39
942 944 39
943 945 44
944 943 30
944 946 30
945 947 51
946 945 49
946 948 49
947 949 51
948 947 53
948 950 53
949 951 49
950 949 57
950 952 57
951 953 53
952 951 40
952 954 40
953 955 36
954 953 31
954 956 31
955 957 58
956 955 31
956 958 31
957 959 51
958 957 55
958 960 55
959 961 51
960 959 36
960 962 36
961 963 47
962 961 58
962 964 58
963 965 48
964 963 32
964 966 32
965 967 52
966 965 39
966 968 39
967 969 58
968 967 56
968 970 56
969 971 58
970 969 56
970 972 56
971 973 59
972 971 49
972 974 49
973 975 55
974 973 33
974 976 33
975 977 57
976 975 48
976 978 48
977 979 54
978 977 49
978 980 49
979 981 42
980 979 35
980 982 35
981 983 36
982 981 54
982 984 54
983 985 59
984 983 59
984 986 59
985 987 48
986 985 31
986 988 31
987 989 48
988 987 51
988 990 51
989 991 51
990 989 32
990 992 32
991 993 54
992 991 44
992 994 44
993 995 38
994 993 35
994 996 35
995 997 35
996 995 38
996 998 38
997 999 57
998 999 41
